"","bmcat","efscience_identity","efSCIENCE_SELF_EFFICACY","efscicareer","ApproxAge","Female","LGBTQ","ANATENGSP","notfincon","PELL","ASIAN","BLACK","HISPANIC","OTHER","HBCU","MSI","intact1","intact7","affact2","insopn10","insopn19","insopn21","insopn14","cmp08","affact9","insopn92","degree"
"4396","Never",53.84,59.47,2,18,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4397","Never",63.52,70.93,2,18,1,1,2,0,0,1,0,0,0,0,0,"2","3","3","3",4,4,3,6,"1",4,7
"4398","Persistence",57.91,52.49,3,18,0,0,2,0,0,0,0,0,0,0,0,"3","4","2","2",3,2,2,5,"1",2,5
"4399","Never",63.52,65.63,5,18,0,0,2,0,0,0,0,0,1,0,0,"2","2","3","2",1,3,2,5,"1",3,8
"4400","Never",63.52,43.92,5,18,1,0,2,1,0,1,0,0,0,0,0,"2","6","1","4",3,4,3,6,"2",3,7
"4401","Never",68.09,53.78,4,NA,1,0,2,1,1,0,0,0,0,0,0,"3","4","2","3",3,4,4,5,"1",2,9
"4402","Never",50,41.62,4,18,1,0,2,0,0,0,0,0,1,0,0,"2","2","1","3",3,NA,2,3,"1",3,9
"4403","Never",NA,NA,5,18,1,0,2,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"4404","Never",55.24,43.77,4,18,1,0,2,0,1,1,0,0,0,0,0,"2","2","2","2",3,3,3,6,"1",4,7
"4405","Never",61.84,52.39,5,18,1,0,1,1,0,1,0,0,0,0,0,"2","3","2","3",3,3,3,5,"1",4,4
"4406","Persistence",60.39,58.57,5,18,1,0,2,0,0,1,0,0,0,0,0,"2","2","2","2",2,3,2,NA,"1",3,7
"4407","Never",58.91,49.94,4,19,0,0,2,0,0,0,0,1,0,0,0,"2","4","1",NA,NA,NA,NA,NA,"2",NA,5
"4408","Never",53.25,38.48,5,18,0,0,2,0,0,1,0,0,0,0,0,"3","1","2","2",2,2,2,4,"1",2,7
"4409","Never",57.53,70.93,2,18,1,0,2,0,0,0,1,0,0,0,0,"3","5","1","4",4,4,4,6,"3",4,7
"4410","Never",59.5,46.35,4,18,1,0,2,0,0,0,0,0,0,0,0,"3","2","1","3",NA,3,3,6,"1",3,4
"4411","To",48.12,49.72,1,19,1,0,1,0,1,1,0,0,0,0,0,"2","3","1","2",NA,3,3,5,"1",3,4
"4412","Never",70.79,51.46,5,19,1,0,2,0,0,0,0,0,0,0,0,"5","2","2","3",3,3,3,4,"2",3,7
"4413","Never",52.37,62.06,5,18,0,0,1,1,0,0,0,0,0,0,0,"3","4","3","3",3,3,3,5,"3",3,8
"4414","Never",NA,NA,4,18,1,0,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4415","To",NA,NA,5,18,1,1,2,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4416","Pushout",59.5,NA,3,98,1,0,2,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"4417","Never",NA,NA,3,18,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"4418","Pushout",47.69,41.87,2,NA,0,0,2,0,0,0,1,0,0,0,0,"2","4","3","1",2,2,3,2,"1",NA,5
"4419","Never",70.79,65.98,5,18,1,0,2,0,0,0,0,0,0,0,0,"2","3","2","3",3,4,3,6,"2",3,7
"4420","Never",NA,NA,4,18,1,0,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4421","Pushout",52.52,44.62,3,18,0,1,2,0,0,0,0,0,0,0,0,"2","2","1","3",3,3,2,4,"1",3,5
"4422","Never",NA,NA,5,18,0,0,2,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"4423","Never",60.27,56.41,5,NA,1,1,1,0,0,0,0,0,0,0,0,"2","3","1","3",1,3,3,4,"2",3,8
"4424","Never",59.5,44.62,6,18,0,0,2,1,0,1,0,0,0,0,0,NA,NA,"2","3",NA,NA,NA,NA,NA,NA,NA
"4425","Never",64.85,50.41,5,18,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"4426","Never",58.91,49.94,1,18,0,0,2,0,0,1,0,0,0,0,0,"3","2","2","3",3,4,2,5,"1",3,5
"4427","Never",56.77,45.57,2,19,1,0,2,0,0,1,0,0,0,0,0,"3","2","1","3",3,3,3,5,NA,3,7
"4428","Never",70.79,50.11,4,18,1,0,2,0,0,0,0,0,0,0,0,"2","2","1","4",2,4,3,6,"2",3,5
